"Community.Area.Number","COMMUNITY.AREA.NAME","HARDSHIP.INDEX.SCORE","PERCENT.OF.CROWDED.HOUSING","PERCENT.OF.HOUSEHOLDS.WITH.INCOME.BELOW.POVERTY.LEVEL","UNEMPLOYMENT.RATE.FOR.POPULATION.AGE.16.and.OVER","PERCENT.AGED.25..AND.OVER.WITH.NO.HIGH.SCHOOL.DIPLOMA","PERCENT.POPULATION.UNDER.AGE.18.AND.OVER.AGE.64","PER.CAPITA.INCOME","housing","unemployment","poverty","education","dependency","income","trial7"
1,"Rogers Park",39.7,7.1,24,9.3,16.4,27.2,24323,43.6241610738255,14.0883977900553,38.2940108892922,27.1676300578035,36.3372093023256,78.5659753149256,39.6795640713713
2,"West Ridge",44.3,7.6,17.4,10,17.1,38.3,23498,46.9798657718121,16.0220994475138,26.3157894736842,28.5163776493256,68.6046511627907,79.6157271917547,44.3424184494802
3,"Uptown",29.9,3.8,23.9,10.1,10.8,23.3,37180,21.4765100671141,16.2983425414365,38.1125226860254,16.3776493256262,25,62.2063875811172,29.9119020335532
4,"Lincoln Square",23.8,1.6,12.7,7.9,10.6,26,39524,6.71140939597315,10.2209944751381,17.7858439201452,15.9922928709056,32.8488372093023,59.2238198244051,23.7971996159783
5,"North Center",14.9,0.6,6.1,4.6,6,27.8,56893,0,1.10497237569061,5.8076225045372,7.12909441233141,38.0813953488372,37.1230436442295,14.874354714271
6,"Lake View",9.6,1,11.3,4.2,2.4,17.6,61610,2.68456375838926,0,15.2450090744102,0.192678227360308,8.43023255813954,31.1210077618018,9.61224856335017
7,"Lincoln Park",11.1,0.7,12.5,4.8,3.1,22.7,68682,0.671140939597315,1.65745856353591,17.4228675136116,1.54142581888247,23.2558139534884,22.1224074309709,11.1118523700144
8,"Near North Side",8.6,1.3,12.2,6.7,2.4,22.6,86068,4.69798657718121,6.9060773480663,16.8784029038112,0.192678227360308,22.9651162790698,0,8.60671022258147
9,"Edison Park",24.4,1.9,2.9,6.7,7.8,36.3,40833,8.7248322147651,6.9060773480663,0,10.597302504817,62.7906976744186,57.5582135131696,24.4295205425394
10,"Norwood Park",28.6,1.1,7.6,8.4,7.8,39.7,35120,3.35570469798658,11.6022099447514,8.52994555353902,10.597302504817,72.6744186046512,64.8275862068965,28.5978612521069
11,"Jefferson Park",33.7,3.3,10.3,10.3,13.4,36.1,30964,18.1208053691275,16.8508287292818,13.4301270417423,21.3872832369942,62.2093023255814,70.1157908130806,33.685689585968
12,"Forest Glen",25.6,1,6.8,6.2,4.8,42,43682,2.68456375838926,5.52486187845304,7.07803992740472,4.81695568400771,79.3604651162791,53.9330703651864,25.56632612162
13,"North Park",37.2,3.2,13.6,10,12,40.9,26931,17.4496644295302,16.0220994475138,19.4192377495463,18.6897880539499,76.1627906976744,75.2474869576282,37.1651778893071
14,"Albany Park",47,9.5,18.3,10,26.9,32.2,23240,59.7315436241611,16.0220994475138,27.9491833030853,47.3988439306358,50.8720930232558,79.9440132332358,46.9862960936479
15,"Portage Park",36.3,2.9,14.2,11.9,18.1,32.5,24459,15.4362416107383,21.2707182320442,20.508166969147,30.4431599229287,51.7441860465116,78.3929253085634,36.2992330149889
16,"Irving Park",38.2,5.9,13.7,9.1,21.2,31.1,26001,35.5704697986577,13.5359116022099,19.6007259528131,36.4161849710983,47.6744186046512,76.430843618781,38.2047590913685
17,"Dunning",31.9,1.6,11.1,9.4,14.4,33.9,26229,6.71140939597315,14.3646408839779,14.8820326678766,23.3140655105973,55.8139534883721,76.140730372821,31.8711387199363
18,"Montclaire",46.2,6.8,16.2,12.3,23.9,36.5,19895,41.6107382550336,22.3756906077348,24.1379310344828,41.6184971098266,63.3720930232558,84.2002799338338,46.2192049940279
19,"Belmont Cragin",57,9.7,18.5,14.2,38.8,37.3,15978,61.0738255033557,27.6243093922652,28.3121597096189,70.3275529865125,65.6976744186046,89.1843746023667,57.0366494354539
20,"Hermosa",55.2,7,23.5,12.4,41.5,36.1,14789,42.9530201342282,22.6519337016575,37.3865698729583,75.5298651252408,62.2093023255814,90.697289731518,55.2379968151974
21,"Avondale",40.3,4.7,17.2,8.5,26.2,31.2,21240,27.5167785234899,11.878453038674,25.9528130671506,46.0500963391137,47.9651162790698,82.488866267973,40.3086872525785
22,"Logan Square",29.5,3.6,16.6,7.1,13.8,26.5,33123,20.1342281879195,8.0110497237569,24.8638838475499,22.1579961464354,34.3023255813953,67.3686219620817,29.4730175748565
23,"Humboldt park",63.6,12.1,32.3,17.5,30.6,38.3,14366,77.1812080536913,36.7403314917127,53.3575317604356,54.5279383429672,68.6046511627907,91.2355261483649,63.6078644933271
24,"West Town",22.3,2.4,13.3,7.5,12.2,22.1,44373,12.0805369127517,9.11602209944751,18.8747731397459,19.0751445086705,21.5116279069767,53.0538236416847,22.2853213682128
25,"Austin",55.7,5.5,29.8,22.1,24.5,39,15478,32.8859060402685,49.4475138121547,48.8203266787659,42.7745664739884,70.6395348837209,89.820587861051,55.7314059583249
26,"West Garfield Park",66.5,9,44.2,20.5,27.1,42.2,11309,56.3758389261745,45.0276243093923,74.9546279491833,47.7842003853564,79.9418604651163,95.1253340119608,66.5349143411973
